,Entry Time,Exit Time,Symbol,Direction,Entry,Exit
0,2017-07-01 20:30:00,2017-07-01 22:05:00,LTCUSD,LONG,37.59,37.4
1,2017-07-02 01:30:00,2017-07-03 01:50:00,LTCUSD,LONG,37.7,40.63
2,2017-07-03 21:35:00,2017-07-04 17:40:00,LTCUSD,LONG,46.89,50.92
3,2017-07-04 19:35:00,2017-07-05 06:50:00,LTCUSD,LONG,51.37,51.55
4,2017-07-05 07:30:00,2017-07-05 13:50:00,LTCUSD,LONG,51.29,50.42
5,2017-07-07 23:20:00,2017-07-08 05:55:00,LTCUSD,LONG,46.44,45.93
6,2017-07-08 06:35:00,2017-07-09 17:10:00,LTCUSD,LONG,45.52,49.86
7,2017-07-10 07:40:00,2017-07-11 00:05:00,LTCUSD,LONG,49.57,45.78
8,2017-07-11 08:20:00,2017-07-11 10:15:00,LTCUSD,LONG,43.01,44.39
9,2017-07-11 23:15:00,2017-07-12 01:00:00,LTCUSD,LONG,44.05,43.14
10,2017-07-12 04:50:00,2017-07-12 21:50:00,LTCUSD,LONG,44.29,46.54
11,2017-07-13 07:20:00,2017-07-14 01:30:00,LTCUSD,LONG,46.18,44.73
12,2017-07-14 17:10:00,2017-07-15 05:50:00,LTCUSD,LONG,40.89,40.02
13,2017-07-15 13:10:00,2017-07-15 17:30:00,LTCUSD,LONG,39.23,40.22
14,2017-07-16 04:30:00,2017-07-18 10:05:00,LTCUSD,LONG,39.0,42.63
15,2017-07-18 13:45:00,2017-07-19 08:55:00,LTCUSD,LONG,43.07,43.12
16,2017-07-19 09:55:00,2017-07-19 17:25:00,LTCUSD,LONG,42.99,41.71
17,2017-07-20 11:55:00,2017-07-22 10:50:00,LTCUSD,LONG,42.78,46.14
18,2017-07-24 02:45:00,2017-07-24 07:25:00,LTCUSD,LONG,45.35,44.7
19,2017-07-24 10:25:00,2017-07-24 21:50:00,LTCUSD,LONG,45.11,45.3
20,2017-07-26 08:55:00,2017-07-26 10:55:00,LTCUSD,LONG,42.11,41.97
