,Entry Time,Exit Time,Symbol,Direction,Entry,Exit
0,2017-07-13 11:30:00,2017-07-29 06:15:00,LTCUSD,LONG,44.48,39.33
1,2017-08-07 22:00:00,2017-08-11 16:45:00,LTCUSD,LONG,45.93,46.92
2,2017-08-13 14:30:00,2017-08-16 22:45:00,LTCUSD,LONG,45.5,44.01
3,2017-08-19 15:15:00,2017-08-28 16:45:00,LTCUSD,LONG,45.1,62.57
4,2017-08-31 22:00:00,2017-09-16 23:30:00,LTCUSD,LONG,74.5,52.06
5,2017-09-22 22:45:00,2017-09-24 00:15:00,LTCUSD,LONG,48.23,49.08
6,2017-09-27 16:45:00,2017-10-04 22:45:00,LTCUSD,LONG,54.4,51.57
7,2017-10-06 22:00:00,2017-10-09 13:00:00,LTCUSD,LONG,51.99,51.75
8,2017-10-10 00:15:00,2017-10-11 23:30:00,LTCUSD,LONG,50.2,50.76
9,2017-10-14 13:00:00,2017-10-14 19:00:00,LTCUSD,LONG,60.5,64.15
10,2017-10-29 11:30:00,2017-10-30 16:45:00,LTCUSD,LONG,54.88,56.42
11,2017-10-31 20:30:00,2017-11-01 15:15:00,LTCUSD,LONG,55.96,54.65
12,2017-11-03 13:45:00,2017-11-04 18:15:00,LTCUSD,LONG,55.35,55.36
13,2017-11-05 18:15:00,2017-11-06 13:00:00,LTCUSD,LONG,55.0,55.49
14,2017-11-06 15:15:00,2017-11-10 05:30:00,LTCUSD,LONG,55.65,64.5
15,2017-11-13 20:30:00,2017-11-15 04:45:00,LTCUSD,LONG,60.89,62.64
16,2017-11-15 07:45:00,2017-11-16 23:30:00,LTCUSD,LONG,63.46,68.1
17,2017-11-18 16:00:00,2017-11-20 04:45:00,LTCUSD,LONG,67.6,71.85
18,2017-11-20 15:15:00,2017-11-21 08:30:00,LTCUSD,LONG,72.15,70.85
19,2017-12-11 07:45:00,2018-01-08 00:15:00,LTCUSD,LONG,162.11,269.0
20,2018-01-12 07:00:00,2018-01-14 11:30:00,LTCUSD,LONG,235.33,237.61
21,2018-01-31 22:45:00,2018-02-02 17:30:00,LTCUSD,LONG,160.77,126.2
22,2018-02-08 22:45:00,2018-02-11 04:00:00,LTCUSD,LONG,149.3,146.5
23,2018-02-26 12:15:00,2018-03-03 07:00:00,LTCUSD,LONG,227.83,212.0
24,2018-03-03 11:30:00,2018-03-06 10:45:00,LTCUSD,LONG,214.21,202.07
25,2018-03-07 10:45:00,2018-03-22 20:30:00,LTCUSD,LONG,192.0,160.11
26,2018-04-06 19:00:00,2018-04-09 16:00:00,LTCUSD,LONG,113.5,114.7
27,2018-04-11 10:45:00,2018-04-16 11:30:00,LTCUSD,LONG,114.15,127.39
28,2018-04-20 23:30:00,2018-04-30 22:00:00,LTCUSD,LONG,155.97,148.7
29,2018-05-02 23:30:00,2018-05-06 01:00:00,LTCUSD,LONG,151.8,179.5
30,2018-05-06 07:00:00,2018-05-09 12:15:00,LTCUSD,LONG,173.4,157.63
31,2018-05-18 01:45:00,2018-06-10 13:45:00,LTCUSD,LONG,130.7,113.75
32,2018-06-22 15:15:00,2018-06-30 03:15:00,LTCUSD,LONG,85.75,81.9
33,2018-07-11 16:00:00,2018-07-12 05:30:00,LTCUSD,LONG,78.3,76.22
34,2018-07-21 03:15:00,2018-08-02 04:00:00,LTCUSD,LONG,80.89,77.52
35,2018-08-17 01:45:00,2018-08-30 10:45:00,LTCUSD,LONG,56.0,59.45
36,2018-08-31 03:15:00,2018-09-01 05:30:00,LTCUSD,LONG,60.05,63.39
37,2018-09-02 14:30:00,2018-09-19 20:30:00,LTCUSD,LONG,64.98,54.53
38,2018-09-25 13:00:00,2018-10-02 06:15:00,LTCUSD,LONG,55.56,60.96
39,2018-10-09 13:45:00,2018-10-28 17:30:00,LTCUSD,LONG,58.35,51.35
40,2018-10-30 00:15:00,2018-12-22 03:15:00,LTCUSD,LONG,48.65,30.05
41,2018-12-24 01:00:00,2019-01-04 22:45:00,LTCUSD,LONG,35.09,31.98
42,2019-01-20 19:45:00,2019-01-21 04:45:00,LTCUSD,LONG,30.55,30.59
43,2019-01-27 10:45:00,2019-01-27 18:15:00,LTCUSD,LONG,32.27,30.54
44,2019-01-30 04:45:00,2019-01-30 08:30:00,LTCUSD,LONG,30.98,30.73
